"Species","Year","Total no catch","Total postive catch","< 10","10 to 19","20 to 29","30 to 39","40 to 49","50 to 59","60 to 69","70 to 79","80 to 89","90 to 99","> 100"
"arrowtooth flounder","Average across years",412.181818181818,226.181818181818,102.954545454545,30.8181818181818,17.7272727272727,12.1818181818182,9.27272727272727,6.68181818181818,4.31818181818182,3.86363636363636,3.13636363636364,2.77272727272727,20
"aurora rockfish","Average across years",554.545454545455,83.8181818181818,42.6363636363636,11.8636363636364,7.13636363636364,4.68181818181818,3.09090909090909,2.72727272727273,1.72727272727273,1.09090909090909,0.545454545454545,0.954545454545455,2.31818181818182
"bank rockfish","Average across years",625.681818181818,12.6818181818182,10.5454545454545,0.727272727272727,0.136363636363636,0.181818181818182,0.0909090909090909,0.0909090909090909,0.136363636363636,0,0.0909090909090909,0,0.5
"big skate","Average across years",541.954545454545,96.4090909090909,88.8636363636364,4.77272727272727,1,0.409090909090909,0.136363636363636,0.0909090909090909,0,0.0454545454545455,0,0,0
"black rockfish","Average across years",287.636363636364,0.318181818181818,0.318181818181818,0,0,0,0,0,0,0,0,0,0
"blackgill rockfish","Average across years",603,35.3636363636364,24.2272727272727,3.18181818181818,1.72727272727273,1.09090909090909,0.636363636363636,0.590909090909091,0.363636363636364,0.318181818181818,0.5,0.0909090909090909,1.31818181818182
"blue and deacon rockfish","Average across years",863.863636363636,0,0,0,0,0,0,0,0,0,0,0,0
"bocaccio","Average across years",585.318181818182,53.0454545454545,40,3.72727272727273,2.59090909090909,1,0.636363636363636,0.5,0.454545454545455,0.318181818181818,0.136363636363636,0.318181818181818,1.72727272727273
"cabezon","Average across years",92.6363636363636,0.0454545454545455,0.0454545454545455,0,0,0,0,0,0,0,0,0,0
"California scorpionfish","Average across years",625.681818181818,12.6818181818182,8.22727272727273,1.5,0.636363636363636,0.227272727272727,0.227272727272727,0.227272727272727,0.181818181818182,0.136363636363636,0,0.0454545454545455,0.818181818181818
"canary rockfish","Average across years",584.772727272727,53.5909090909091,41.5909090909091,2.36363636363636,1.77272727272727,1.13636363636364,0.727272727272727,0.409090909090909,0.636363636363636,0.363636363636364,0.363636363636364,0.136363636363636,2.95454545454545
"chilipepper","Average across years",544.727272727273,93.6363636363636,47.6818181818182,9,4.68181818181818,2.81818181818182,1.81818181818182,1.59090909090909,1.45454545454545,0.727272727272727,0.636363636363636,0.818181818181818,19.2272727272727
"copper rockfish","Average across years",287.818181818182,0.136363636363636,0.136363636363636,0,0,0,0,0,0,0,0,0,0
"cowcod","Average across years",618.318181818182,20.0454545454545,19.5909090909091,0.272727272727273,0.0909090909090909,0.0909090909090909,0,0,0,0,0,0,0
"darkblotched rockfish","Average across years",525.454545454545,112.909090909091,69.1818181818182,14,4.86363636363636,4.31818181818182,2.59090909090909,1.95454545454545,2.31818181818182,0.681818181818182,1,0.636363636363636,6.68181818181818
"Dover sole","Average across years",101.681818181818,536.681818181818,118.818181818182,41,30,23.9545454545455,22.3636363636364,17.5909090909091,18.2272727272727,14.4545454545455,15.4090909090909,13,198.045454545455
"English sole","Average across years",371.5,266.863636363636,80.5,28.0454545454545,22.2272727272727,17.5,16.1818181818182,11.3636363636364,10.5909090909091,8.31818181818182,6.81818181818182,6.5,40.8636363636364
"flathead sole","Average across years",586.545454545455,51.8181818181818,34.2727272727273,6.95454545454545,2.45454545454545,1.54545454545455,1.09090909090909,1.13636363636364,0.136363636363636,0.363636363636364,0.272727272727273,0.227272727272727,1.36363636363636
"greenspotted rockfish","Average across years",603.227272727273,35.1363636363636,23.7272727272727,3.40909090909091,2.04545454545455,1.18181818181818,0.727272727272727,0.590909090909091,0.227272727272727,0.454545454545455,0.363636363636364,0.227272727272727,1
"greenstriped rockfish","Average across years",477.227272727273,161.136363636364,78.7272727272727,19.0454545454545,10.2727272727273,6.72727272727273,5.22727272727273,3.59090909090909,3.36363636363636,2,2.04545454545455,1.86363636363636,20.6363636363636
"kelp greenling","Average across years",90,2.68181818181818,2.45454545454545,0.136363636363636,0,0,0,0,0,0,0,0,0
"lingcod north","Average across years",214.636363636364,130.772727272727,105.5,9.81818181818182,4.68181818181818,1.77272727272727,1.77272727272727,0.818181818181818,0.5,0.318181818181818,0.227272727272727,0.181818181818182,1.31818181818182
"lingcod south","Average across years",213.727272727273,79.2272727272727,63.1818181818182,7.95454545454545,2.59090909090909,0.818181818181818,0.590909090909091,0.545454545454545,0.136363636363636,0.227272727272727,0.227272727272727,0,0.5
"longnose skate","Average across years",253.863636363636,384.5,254.681818181818,65.0909090909091,22.5909090909091,9.54545454545454,5.18181818181818,2.95454545454545,1.27272727272727,1.5,0.590909090909091,0.318181818181818,1.13636363636364
"longspine thornyhead","Average across years",415.5,222.863636363636,14.5454545454545,6.22727272727273,5,5.04545454545455,4.54545454545455,3.95454545454545,2.90909090909091,3.86363636363636,3.77272727272727,3.13636363636364,165.409090909091
"Pacific cod","Average across years",610.272727272727,28.0909090909091,22.3181818181818,2.68181818181818,0.818181818181818,0.727272727272727,0.272727272727273,0.0909090909090909,0.0454545454545455,0.0454545454545455,0.0454545454545455,0,0.363636363636364
"Pacific ocean perch","Average across years",589.636363636364,48.7272727272727,32.1363636363636,3.86363636363636,2.13636363636364,1.18181818181818,0.636363636363636,0.863636363636364,0.409090909090909,0.363636363636364,0.272727272727273,0.272727272727273,5.31818181818182
"Pacific sanddab","Average across years",428.818181818182,209.545454545455,27.0909090909091,11.1363636363636,9.81818181818182,7.59090909090909,8.22727272727273,6.90909090909091,6.81818181818182,5.77272727272727,5.72727272727273,5.40909090909091,108.181818181818
"Pacific spiny dogfish","Average across years",476.409090909091,161.954545454545,113.545454545455,15.4545454545455,6.59090909090909,4,2.90909090909091,1.95454545454545,1.77272727272727,1.09090909090909,0.772727272727273,0.772727272727273,7.86363636363636
"petrale sole","Average across years",363.454545454545,274.909090909091,117.909090909091,48.5909090909091,29.5,16.2272727272727,10.1818181818182,7.54545454545455,5.27272727272727,3.63636363636364,2.59090909090909,2.31818181818182,11.7727272727273
"quillback rockfish","Average across years",284.454545454545,3.5,3.36363636363636,0,0,0.0909090909090909,0,0,0,0,0,0,0
"redbanded rockfish","Average across years",585,53.3636363636364,49.2272727272727,2.81818181818182,0.409090909090909,0.136363636363636,0.0454545454545455,0,0.0454545454545455,0,0,0,0
"redstripe rockfish","Average across years",625.863636363636,12.5,7.27272727272727,0.863636363636364,0.454545454545455,0.272727272727273,0.181818181818182,0.0454545454545455,0.181818181818182,0.181818181818182,0.136363636363636,0.227272727272727,2.45454545454545
"rex sole","Average across years",242.954545454545,395.409090909091,76.4545454545455,35.7727272727273,26.8636363636364,20.5454545454545,17.3636363636364,16.0454545454545,12.8181818181818,11.4090909090909,10.7727272727273,9.09090909090909,137.181818181818
"rosethorn rockfish","Average across years",589.818181818182,48.5454545454545,24.9545454545455,5.22727272727273,3,2.13636363636364,1.90909090909091,1.18181818181818,1.27272727272727,0.909090909090909,0.409090909090909,0.363636363636364,5.68181818181818
"rougheye and blackspotted rockfish","Average across years",609.909090909091,29.6363636363636,27.3181818181818,1.36363636363636,0.318181818181818,0.0454545454545455,0.0454545454545455,0.0909090909090909,0.0454545454545455,0,0,0.0454545454545455,0.0454545454545455
"sablefish","Average across years",210.409090909091,427.954545454545,230.363636363636,76.9090909090909,35.3636363636364,18.4545454545455,10.7727272727273,6.68181818181818,3.45454545454545,3.5,2.18181818181818,1.77272727272727,13.7727272727273
"sharpchin rockfish","Average across years",595,43.3636363636364,25.7727272727273,3.13636363636364,1.77272727272727,1.13636363636364,0.863636363636364,0.590909090909091,0.5,0.5,0.318181818181818,0.181818181818182,7.81818181818182
"shortraker rockfish","Average across years",637.5,0.863636363636364,0.818181818181818,0.0454545454545455,0,0,0,0,0,0,0,0,0
"shortspine thornyhead","Average across years",313.318181818182,325.045454545455,123.545454545455,53.4545454545455,28.8636363636364,15,10.6363636363636,7.77272727272727,6.63636363636364,6.13636363636364,4.95454545454545,4.36363636363636,41.4545454545455
"silvergray rockfish","Average across years",631.954545454545,6.40909090909091,4.90909090909091,0.636363636363636,0.454545454545455,0.272727272727273,0,0.0454545454545455,0,0,0,0,0.0454545454545455
"splitnose rockfish","Average across years",510.090909090909,128.272727272727,42.9090909090909,9.90909090909091,6.40909090909091,4.27272727272727,3.68181818181818,3.40909090909091,2.45454545454545,1.90909090909091,1.90909090909091,1.77272727272727,44.2727272727273
"squarespot rockfish","Average across years",628.636363636364,9.72727272727273,5.86363636363636,0.636363636363636,0.318181818181818,0.272727272727273,0.272727272727273,0.136363636363636,0.0909090909090909,0.0454545454545455,0.0454545454545455,0,1.54545454545455
"starry rockfish","Average across years",636.136363636364,2.22727272727273,2.13636363636364,0.0909090909090909,0,0,0,0,0,0,0,0,0
"stripetail rockfish","Average across years",497.727272727273,140.636363636364,55.0454545454545,12.4090909090909,7.22727272727273,4.09090909090909,4.36363636363636,2.45454545454545,2.5,1.81818181818182,1.68181818181818,1.77272727272727,41.9090909090909
"vermilion and sunset rockfish","Average across years",1264.36363636364,12.4090909090909,8.40909090909091,1.36363636363636,0.590909090909091,0.409090909090909,0.227272727272727,0,0.136363636363636,0.0909090909090909,0.0454545454545455,0.0454545454545455,0.454545454545455
"widow rockfish","Average across years",612.954545454545,25.4090909090909,20.4545454545455,1.13636363636364,1.18181818181818,0.181818181818182,0.272727272727273,0.0909090909090909,0.136363636363636,0,0.0454545454545455,0.136363636363636,1.27272727272727
"yelloweye rockfish","Average across years",622.636363636364,15.7272727272727,14.5909090909091,0.818181818181818,0,0,0,0,0,0,0,0,0
"yellowmouth rockfish","Average across years",636.227272727273,2.13636363636364,1.27272727272727,0.227272727272727,0.136363636363636,0,0.0454545454545455,0.0454545454545455,0.0454545454545455,0,0,0,0.272727272727273
"yellowtail rockfish north","Average across years",302.681818181818,42.7272727272727,27.3181818181818,3.68181818181818,1.63636363636364,0.954545454545455,0.636363636363636,0.727272727272727,0.363636363636364,0.636363636363636,0.5,0.318181818181818,5
"yellowtail rockfish south","Average across years",289.727272727273,3.22727272727273,2.31818181818182,0.136363636363636,0.0454545454545455,0.0909090909090909,0.0454545454545455,0,0,0.0454545454545455,0,0,0.272727272727273
